	en	Found	Not_found	Found_ratio
201	Aram of Damascus	0	3	0.0
202	Aram-zobah	0	3	0.0
203	Aramaic	0	4	0.0
204	Aramean	0	12	0.0
205	Aran	2	0	1.0
206	Ararat	1	3	0.25
207	Araunah	7	0	1.0
208	Arbathite	1	0	1.0
209	Arbite	0	1	0.0
210	Ard	1	1	0.5
211	Ardite	0	1	0.0
212	Ardon	1	0	1.0
213	Areli	1	1	0.5
214	Arelite	0	1	0.0
215	Argob	5	0	1.0
216	Arieh	1	0	1.0
217	Ariel	4	0	1.0
218	Arioch	2	0	1.0
219	Arkite	1	6	0.14285714285714285
220	Armoni	1	0	1.0
221	Arnan	1	0	1.0
222	Arnon	21	1	0.9545454545454546
223	Arod	0	1	0.0
224	Arodi	1	0	1.0
225	Arodite	0	1	0.0
226	Aroer	10	1	0.9090909090909091
227	Aroerite	1	0	1.0
228	Arpachshad	7	1	0.875
229	Arpad	4	1	0.8
230	Artaxerxes	13	0	1.0
231	Arubboth	1	0	1.0
232	Arumah	0	1	0.0
233	Arvad	2	0	1.0
234	Arvadite	1	0	1.0
235	Arza	1	0	1.0
236	Asa	43	7	0.86
237	Asahel	17	0	1.0
238	Asaiah	8	0	1.0
239	Asaph	33	2	0.9428571428571428
240	Asarel	1	0	1.0
241	Asarelah	0	1	0.0
242	Ascent of Akrabbim	2	1	0.6666666666666666
243	Asenath	3	0	1.0
244	Ashan	4	0	1.0
245	Ashbel	2	1	0.6666666666666666
246	Ashbelite	0	1	0.0
247	Ashdod	12	3	0.8
248	Ashdodite	0	3	0.0
249	Asher	39	4	0.9069767441860465
250	Asherah	1	6	0.14285714285714285
251	Asherite	0	1	0.0
252	Ashhur	2	0	1.0
253	Ashima	1	0	1.0
254	Ashkelon	8	3	0.7272727272727273
255	Ashkelonite	0	1	0.0
256	Ashkenaz	2	1	0.6666666666666666
257	Ashnah	2	0	1.0
258	Ashtaroth	6	0	1.0
259	Ashterathite	1	0	1.0
260	Ashteroth-Karnaim	0	1	0.0
261	Ashtoreth	2	7	0.2222222222222222
262	Ashurite	0	1	0.0
263	Ashvath	1	0	1.0
264	Asiel	1	0	1.0
265	Asnah	1	0	1.0
266	Asriel	2	1	0.6666666666666666
267	Asrielite	0	1	0.0
268	Asshur	2	0	1.0
269	Asshurim	1	0	1.0
270	Assir	4	0	1.0
271	Assyria	135	6	0.9574468085106383
272	Atarah	1	0	1.0
273	Ataroth	2	0	1.0
274	Ataroth-Addar	1	1	0.5
275	Ater	2	0	1.0
276	Athach	0	1	0.0
277	Athaliah	17	0	1.0
278	Atharim	1	0	1.0
279	Athlai	1	0	1.0
280	Atroth Beth Joab	0	1	0.0
281	Atroth-Shophan	0	1	0.0
282	Attai	4	0	1.0
283	Avith	0	2	0.0
284	Avva	1	0	1.0
285	Avvim	3	1	0.75
286	Ayyah	0	1	0.0
287	Azaliah	2	0	1.0
288	Azarel	4	0	1.0
289	Azariah	24	13	0.6486486486486487
290	Azaz	1	0	1.0
291	Azaziah	3	0	1.0
292	Azekah	5	0	1.0
293	Azel	6	1	0.8571428571428571
294	Azgad	2	0	1.0
295	Aziel	1	0	1.0
296	Aziza	1	0	1.0
297	Azmaveth	6	0	1.0
298	Azmon	3	0	1.0
299	Aznoth-Tabor	1	0	1.0
300	Azriel	1	2	0.3333333333333333
301	Azrikam	5	0	1.0
302	Azubah	4	0	1.0
303	Azzan	1	0	1.0
304	Azzur	1	1	0.5
305	Baal	74	7	0.9135802469135802
306	Baal-Berith	1	1	0.5
307	Baal-Gad	3	0	1.0
308	Baal-Hamon	1	0	1.0
309	Baal-Hanan	5	0	1.0
310	Baal-Hazor	1	0	1.0
311	Baal-Hermon	1	1	0.5
312	Baal-Meon	2	1	0.6666666666666666
313	Baal-Peor	5	1	0.8333333333333334
314	Baal-Perazim	1	1	0.5
315	Baal-Shalishah	1	0	1.0
316	Baal-Tamar	1	0	1.0
317	Baal-Zephon	3	0	1.0
318	Baal-zebub	0	4	0.0
319	Baalah	3	2	0.6
320	Baalath	1	1	0.5
321	Baalath-Beer	0	1	0.0
322	Baale-Judah	0	1	0.0
323	Baana	2	0	1.0
324	Baanah	6	1	0.8571428571428571
325	Baara	1	0	1.0
326	Baaseiah	1	0	1.0
327	Baasha	23	4	0.8518518518518519
328	Babel	0	189	0.0
329	Babylonian	1	0	1.0
330	Baharumite	1	0	1.0
331	Bahurim	5	0	1.0
332	Bakbakkar	1	0	1.0
333	Bakbuk	1	0	1.0
334	Balaam	54	1	0.9818181818181818
335	Baladan	2	0	1.0
336	Balah	1	0	1.0
337	Balak	40	0	1.0
338	Bamoth	1	1	0.5
339	Bamoth Baal	0	2	0.0
340	Bani	5	2	0.7142857142857143
341	Barachel	2	0	1.0
342	Barak	13	0	1.0
343	Bariah	1	0	1.0
344	Barkos	1	0	1.0
345	Baruch	0	15	0.0
346	Barzillai	9	0	1.0
347	Basemath	7	0	1.0
348	Bashan	47	9	0.8392857142857143
349	Bath-shua	0	2	0.0
350	Bathsheba	10	1	0.9090909090909091
351	Bazluth	1	0	1.0
352	Bealiah	1	0	1.0
353	Bealoth	1	1	0.5
354	Bebai	3	0	1.0
355	Becher	3	1	0.75
356	Becherite	0	1	0.0
357	Becorath	1	0	1.0
358	Bedad	2	0	1.0
359	Bedan	1	1	0.5
360	Bediah	0	1	0.0
361	Beeliada	1	0	1.0
362	Beer	1	1	0.5
363	Beer-Elim	0	1	0.0
