	en	Found	Not_found	Found_ratio
1602	Korah	24	13	0.6486486486486487
1603	Korahite	7	1	0.875
1604	Kore	3	0	1.0
1605	Koz	6	0	1.0
1606	Kushaiah	1	0	1.0
1607	Laadah	1	0	1.0
1608	Laban	45	2	0.9574468085106383
1609	Lachish	23	0	1.0
1610	Ladan	5	0	1.0
1611	Lahad	1	0	1.0
1612	Lahmas	0	1	0.0
1613	Lahmi	1	0	1.0
1614	Laish	6	0	1.0
1615	Laishah	1	0	1.0
1616	Lakkum	1	0	1.0
1617	Lamech	10	4	0.7142857142857143
1618	Laodicea	1	0	1.0
1619	Lappidoth	1	0	1.0
1620	Lasha	1	0	1.0
1621	Lazarus	11	0	1.0
1622	Laël	0	1	0.0
1623	Leah	34	0	1.0
1624	Lebanah	1	1	0.5
1625	Lebanon	60	6	0.9090909090909091
1626	Lebaoth	1	0	1.0
1627	Lebonah	1	0	1.0
1628	Lehabim	2	0	1.0
1629	Lehi	3	0	1.0
1630	Lekah	0	1	0.0
1631	Lemuel	2	0	1.0
1632	Leshem	1	0	1.0
1633	Letushim	1	0	1.0
1634	Leummim	1	0	1.0
1635	Levi	65	3	0.9558823529411765
1636	Levite	265	32	0.8922558922558923
1637	Libnah	16	1	0.9411764705882353
1638	Libni	2	3	0.4
1639	Libnite	2	0	1.0
1640	Libya	0	2	0.0
1641	Libyan	0	3	0.0
1642	Likhi	1	0	1.0
1643	Lo-Ammi	1	1	0.5
1644	Lo-Ruhamah	2	0	1.0
1645	Lod	4	0	1.0
1646	Lodebar	1	2	0.3333333333333333
1647	Lot	29	2	0.9354838709677419
1648	Lotan	5	0	1.0
1649	Lucius	1	3	0.25
1650	Lud	5	0	1.0
1651	Ludim	3	0	1.0
1652	Luhith	2	0	1.0
1653	Luz	7	0	1.0
1654	Lycaonia	1	0	1.0
1655	Lycaonian	0	2	0.0
1656	Lycia	0	1	0.0
1657	Lysanias	0	1	0.0
1658	Lysias	0	1	0.0
1659	Maacah	21	0	1.0
1660	Maacath	1	0	1.0
1661	Maacathite	8	0	1.0
1662	Maadai	1	0	1.0
1663	Maadiah	1	0	1.0
1664	Maai	1	0	1.0
1665	Maarath	1	0	1.0
1666	Maasai	1	0	1.0
1667	Maaseiah	22	1	0.9565217391304348
1668	Maath	1	0	1.0
1669	Maaz	1	0	1.0
1670	Maaziah	1	1	0.5
1671	Macedonian	0	22	0.0
1672	Machbannai	0	1	0.0
1673	Machbenah	0	1	0.0
1674	Machi	1	0	1.0
1675	Machir	20	0	1.0
1676	Machirite	1	0	1.0
1677	Machnadebai	1	0	1.0
1678	Machpelah	6	0	1.0
1679	Madai	2	8	0.2
1680	Madmannah	2	0	1.0
1681	Madmen	1	0	1.0
1682	Madmenah	1	0	1.0
1683	Madon	2	0	1.0
1684	Magadan	0	4	0.0
1685	Magbish	1	0	1.0
1686	Magdalene	0	1	0.0
1687	Magdiel	2	0	1.0
1688	Magog	4	12	0.25
1689	Magpiash	0	1	0.0
1690	Mahalab	0	1	0.0
1691	Mahalaleel	0	5	0.0
1692	Mahalalel	7	0	1.0
1693	Mahalath	2	0	1.0
1694	Mahanaim	10	3	0.7692307692307693
1695	Maharai	3	0	1.0
1696	Mahath	2	1	0.6666666666666666
1697	Mahavite	1	0	1.0
1698	Mahazioth	2	0	1.0
1699	Maher-Shalal-Hash-Baz	0	2	0.0
1700	Mahlah	5	0	1.0
1701	Mahli	8	3	0.7272727272727273
1702	Mahlite	2	0	1.0
1703	Mahlon	4	0	1.0
1704	Mahol	0	1	0.0
1705	Mahseiah	2	0	1.0
1706	Makaz	1	0	1.0
1707	Makheloth	2	0	1.0
1708	Makkedah	8	0	1.0
1709	Malachi	1	0	1.0
1710	Malcam	1	0	1.0
1711	Malchi-Shua	0	5	0.0
1712	Malchiel	3	0	1.0
1713	Malchielite	1	0	1.0
1714	Malchijah	13	2	0.8666666666666667
1715	Malchiram	1	0	1.0
1716	Malchus	0	1	0.0
1717	Mallothi	2	0	1.0
1718	Malluch	3	3	0.5
1719	Malluchi	2	0	1.0
1720	Malta	0	1	0.0
1721	Mamre	10	0	1.0
1722	Manaen	0	1	0.0
1723	Manahath	3	0	1.0
1724	Manahathite	1	0	1.0
1725	Manasseh	133	14	0.9047619047619048
1726	Manassite	3	1	0.75
1727	Manoah	14	0	1.0
1728	Maoch	1	0	1.0
1729	Maon	6	0	1.0
1730	Mara	1	0	1.0
1731	Marah	3	0	1.0
1732	Mareal	0	1	0.0
1733	Mareshah	7	1	0.875
1734	Maroth	1	0	1.0
1735	Martha	0	1	0.0
1736	Mary	53	2	0.9636363636363636
1737	Mash	1	0	1.0
1738	Mashal	0	1	0.0
1739	Masrekah	2	0	1.0
1740	Massa	2	0	1.0
1741	Massah	5	0	1.0
1742	Matred	2	0	1.0
1743	Matrite	1	0	1.0
1744	Mattan	3	0	1.0
1745	Mattanah	2	0	1.0
1746	Mattaniah	16	0	1.0
1747	Mattatha	0	2	0.0
1748	Mattathias	1	1	0.5
1749	Mattattah	1	0	1.0
1750	Mattenai	3	0	1.0
1751	Matthat	1	5	0.16666666666666666
1752	Matthias	0	1	0.0
1753	Mattitiah	0	8	0.0
1754	Mearah	1	0	1.0
1755	Mebunnai	1	0	1.0
1756	Mecherathite	1	0	1.0
1757	Meconah	1	0	1.0
1758	Medad	2	0	1.0
1759	Medan	2	0	1.0
1760	Medeba	5	0	1.0
1761	Megiddo	12	0	1.0
1762	Mehetabel	3	0	1.0
1763	Mehida	2	0	1.0
1764	Mehir	1	0	1.0
1765	Meholathite	2	0	1.0
1766	Mehujael	1	0	1.0
1767	Melatiah	1	0	1.0
1768	Melchi	9	0	1.0
1769	Melchizedek	2	1	0.6666666666666666
1770	Melech	2	0	1.0
1771	Memphis	8	0	1.0
1772	Menahem	8	0	1.0
1773	Menuhoth	1	0	1.0
1774	Meonothai	1	0	1.0
1775	Mephaath	3	1	0.75
1776	Mephibosheth	13	2	0.8666666666666667
1777	Merab	3	0	1.0
1778	Meraiah	1	0	1.0
1779	Meraioth	6	1	0.8571428571428571
1780	Merari	34	5	0.8717948717948718
1781	Merarite	1	0	1.0
1782	Merathaim	1	0	1.0
1783	Mered	2	0	1.0
1784	Meremoth	5	1	0.8333333333333334
1785	Merib-Baal	4	0	1.0
1786	Meribah	8	3	0.7272727272727273
1787	Merodach	1	0	1.0
1788	Merodach-Baladan	1	1	0.5
1789	Merom	2	0	1.0
1790	Meronothite	2	0	1.0
1791	Meroz	1	0	1.0
1792	Mesha	4	0	1.0
1793	Meshech	9	0	1.0
1794	Meshelemiah	4	0	1.0
1795	Meshezabel	2	1	0.6666666666666666
1796	Meshillemith	1	0	1.0
1797	Meshillemoth	2	0	1.0
1798	Meshobab	1	0	1.0
1799	Meshullam	23	2	0.92
1800	Meshullemeth	1	0	1.0
1801	Mesopotamia	3	2	0.6
1802	Methuselah	6	2	0.75
1803	Methushael	1	0	1.0
1804	Meunites	0	4	0.0
1805	Mezahab	2	0	1.0
1806	Mezobaite	1	0	1.0
1807	Mibhar	1	0	1.0
1808	Mibsam	3	0	1.0
1809	Mibzar	2	0	1.0
1810	Mica	4	1	0.8
1811	Micah	30	20	0.6
1812	Micaiah	5	0	1.0
1813	Michael	8	3	0.7272727272727273
1814	Michal	16	1	0.9411764705882353
1815	Michmash	9	2	0.8181818181818182
1816	Michmethath	2	0	1.0
1817	Michri	1	0	1.0
1818	Middin	1	0	1.0
1819	Midian	53	3	0.9464285714285714
1820	Midianite	8	0	1.0
1821	Migdal Eder	0	1	0.0
1822	Migdal-El	0	1	0.0
1823	Migdal-Gad	0	1	0.0
1824	Migdol	4	2	0.6666666666666666
1825	Migron	2	0	1.0
1826	Mijamin	3	1	0.75
1827	Mikloth	4	0	1.0
1828	Mikneiah	2	0	1.0
1829	Milalai	1	0	1.0
1830	Milcah	10	0	1.0
1831	Milcom	3	0	1.0
1832	Miniamin	3	0	1.0
1833	Minni	1	0	1.0
1834	Minnith	2	0	1.0
1835	Miriam	13	0	1.0
1836	Mirmah	1	0	1.0
1837	Mishael	3	0	1.0
1838	Mishal	2	0	1.0
1839	Misham	1	0	1.0
1840	Mishma	4	0	1.0
1841	Mishmannah	0	1	0.0
1842	Mishraite	1	0	1.0
1843	Mispar	1	1	0.5
1844	Misrephoth-Maim	0	2	0.0
1845	Mithkah	2	0	1.0
1846	Mithnite	1	0	1.0
1847	Mithredath	2	0	1.0
1848	Mizpa	37	0	1.0
1849	Mizpeh	3	3	0.5
1850	Mizraim	5	672	0.007385524372230428
1851	Mizzah	3	0	1.0
1852	Moab	175	4	0.9776536312849162
1853	Moabite	13	3	0.8125
1854	Moadiah	1	0	1.0
1855	Moladah	4	0	1.0
1856	Molech	8	0	1.0
1857	Molid	1	0	1.0
1858	Mordecai	2	0	1.0
1859	Moreh	3	0	1.0
1860	Moresheth-Gath	0	1	0.0
1861	Moriah	2	0	1.0
1862	Moserah	1	2	0.3333333333333333
1863	Moseroth	2	0	1.0
1864	Moses	754	11	0.9856209150326798
1865	Most High	23	8	0.7419354838709677
1866	Moza	5	0	1.0
1867	Mozah	1	0	1.0
1868	Muppim	1	0	1.0
1869	Mushi	6	2	0.75
1870	Mushite	2	0	1.0
1871	Naam	1	0	1.0
1872	Naamah	5	0	1.0
1873	Naaman	14	1	0.9333333333333333
1874	Naamathite	4	0	1.0
1875	Naamite	1	0	1.0
1876	Naarah	3	0	1.0
1877	Naarai	1	0	1.0
1878	Naaran	1	0	1.0
1879	Nabal	18	0	1.0
1880	Naboth	18	0	1.0
1881	Nadab	20	0	1.0
1882	Naggai	0	3	0.0
1883	Nahalal	2	1	0.6666666666666666
1884	Nahaliel	1	0	1.0
1885	Naham	1	0	1.0
1886	Nahamani	1	0	1.0
1887	Naharai	2	0	1.0
1888	Nahash	8	0	1.0
1889	Nahath	4	1	0.8
1890	Nahbi	1	0	1.0
1891	Nahor	17	0	1.0
1892	Nahshon	9	80	0.10112359550561797
1893	Nahum	1	1	0.5
1894	Nain	0	1	0.0
1895	Naioth	5	0	1.0
1896	Naomi	20	0	1.0
1897	Naphish	3	0	1.0
1898	Naphtali	44	5	0.8979591836734694
1899	Naphtuhim	2	0	1.0
1900	Nathan	45	1	0.9782608695652174
1901	Nathan-Melech	0	1	0.0
1902	Nathanael	0	13	0.0
1903	Nazarene	6	12	0.3333333333333333
1904	Nazareth	0	1	0.0
1905	Neah	1	0	1.0
1906	Neariah	3	0	1.0
1907	Nebai	0	2	0.0
