	term	domain	category	sense	AR	DC	en	es	fr	id	vrefs
2717	מָגֵן	RE	warfare	1	False	False	shield	Micael	Madaï	Madon	['JDG 5:8', '2SA 1:21', '2SA 1:21', '1KI 10:17', '1KI 10:17', '1KI 14:26', '1KI 14:27', '2KI 19:32', '1CH 5:18', '2CH 9:16', '2CH 9:16', '2CH 12:9', '2CH 12:10', '2CH 14:6', '2CH 17:17', '2CH 23:9', '2CH 26:14', '2CH 32:5', '2CH 32:27', 'NEH 4:4', 'JOB 15:26', 'JOB 40:31', 'PSA 35:2', 'PSA 47:10', 'PSA 76:5', 'PRO 6:11', 'PRO 24:34', 'SNG 4:4', 'ISA 21:5', 'ISA 22:6', 'ISA 37:33', 'JER 46:3', 'JER 46:9', 'EZK 23:24', 'EZK 27:10', 'EZK 38:4', 'EZK 38:5', 'EZK 39:9', 'NAM 2:5']
2718	מָגֵן	AT	help, protect, save	2	False	False	shield	Micael	Madaï	Madai	['GEN 15:1', 'DEU 33:29', '2SA 22:3', '2SA 22:31', '2SA 22:36', 'PSA 3:5', 'PSA 7:12', 'PSA 18:4', 'PSA 18:32', 'PSA 18:37', 'PSA 28:7', 'PSA 33:20', 'PSA 59:13', 'PSA 84:11', 'PSA 84:13', 'PSA 89:20', 'PSA 115:9', 'PSA 115:10', 'PSA 115:11', 'PSA 119:114', 'PSA 144:2', 'PRO 2:7', 'PRO 30:5']
2719	מַגֵּפָה	MI	violence, harm, destroy, kill		False	False	blow	Micaías	Middîn	Madai	['EXO 9:14', 'NUM 14:37', 'NUM 17:28', 'NUM 17:14', 'NUM 17:15', 'NUM 25:8', 'NUM 25:9', 'NUM 25:18', 'NUM 25:19', 'NUM 31:16', '1SA 4:17', '1SA 6:4', '2SA 17:9', '2SA 18:7', '2SA 24:21', '2SA 24:25', '1CH 21:17', '1CH 21:22', '2CH 21:14', 'PSA 106:29', 'PSA 106:30', 'EZK 24:16', 'ZEC 14:12', 'ZEC 14:15', 'ZEC 14:15', 'ZEC 14:18']
2720	מַגְפִּיעָשׁ	PN	person		False	False	Magpiash	Micaías	Madiân	Midin	['NEH 10:22']
2721	מְגֵרָה	RE	tools; construction		False	False	stone plane	Micaías	Madianite	Midian	['2SA 12:31', '1KI 7:9', '1CH 20:3', '1CH 20:3']
2722	מִגְרוֹן	PN	settlement		False	False	Migron	Micaías	Madmén	orang Midian	['1SA 14:2', 'ISA 10:28']
2723	מָדוֹן	PN	locale		False	False	Madon	Micaías	Madmanna	Madmen	['JOS 11:1', 'JOS 12:19']
2724	מָדַי	PN	person; area		True	False	Madai	Micaías	Madména	Madmana	['EZR 6:2', 'DAN 5:28', 'DAN 6:2', 'DAN 6:2', 'DAN 6:10', 'DAN 6:14', 'DAN 6:17']
2725	מָדַי	PN	person; area		False	False	Madai	Miqueas	Medân	Madmena	['GEN 10:2', '2KI 17:6', '2KI 18:11', '1CH 1:5', 'EST 1:3', 'EST 1:14', 'EST 1:18', 'EST 1:19', 'EST 10:2', 'ISA 13:17', 'ISA 21:2', 'JER 25:25', 'JER 51:11', 'JER 51:28', 'DAN 8:20', 'DAN 9:1']
2726	מִדִּין	PN	settlement		False	False	Middin	Micaías	Mehoumân	Medan	['JOS 15:61']
