	vrefs
86	['ISA 15:8']
87	['JOB 40:26', 'JOB 41:4', 'ISA 9:12', 'ISA 19:15', 'ISA 58:5']
88	['GEN 25:13', '1CH 1:29']
89	['1KI 11:17']
90	['EZR 8:17', 'EZR 8:17']
91	['GEN 25:30', 'GEN 32:5', 'GEN 36:1', 'GEN 36:8', 'GEN 36:9', 'GEN 36:16', 'GEN 36:17', 'GEN 36:19', 'GEN 36:21', 'GEN 36:31', 'GEN 36:32', 'GEN 36:43', 'GEN 36:43', 'EXO 15:15', 'NUM 20:14', 'NUM 20:18', 'NUM 20:20', 'NUM 20:21', 'NUM 20:23', 'NUM 21:4', 'NUM 24:18', 'NUM 33:37', 'NUM 34:3', 'JOS 15:1', 'JOS 15:21', 'JDG 5:4', 'JDG 11:17', 'JDG 11:17', 'JDG 11:18', '1SA 14:47', '2SA 8:14', '2SA 8:14', '2SA 8:14', '1KI 9:26', '1KI 11:14', '1KI 11:15', '1KI 11:15', '1KI 11:16', '1KI 22:49', '2KI 3:8', '2KI 3:9', '2KI 3:12', '2KI 3:20', '2KI 3:26', '2KI 8:20', '2KI 8:21', '2KI 8:22', '2KI 14:7', '2KI 14:10', '1CH 1:43', '1CH 1:51', '1CH 1:54', '1CH 18:11', '1CH 18:12', '1CH 18:13', '1CH 18:13', '2CH 8:17', '2CH 21:8', '2CH 21:9', '2CH 21:10', '2CH 25:19', '2CH 25:20', 'PSA 60:4', 'PSA 60:12', 'PSA 60:13', 'PSA 83:8', 'PSA 108:11', 'PSA 108:12', 'PSA 137:7', 'ISA 11:14', 'ISA 34:5', 'ISA 34:6', 'ISA 63:1', 'JER 9:24', 'JER 25:21', 'JER 27:3', 'JER 40:11', 'JER 49:7', 'JER 49:17', 'JER 49:20', 'JER 49:22', 'LAM 4:21', 'LAM 4:22', 'EZK 25:12', 'EZK 25:13', 'EZK 25:14', 'EZK 25:14', 'EZK 32:29', 'EZK 35:15', 'EZK 36:5', 'DAN 11:41', 'JOL 4:19', 'AMO 1:6', 'AMO 1:9', 'AMO 1:11', 'AMO 2:1', 'AMO 9:12', 'OBA 1:1', 'OBA 1:8', 'MAL 1:4']
92	['DEU 23:9', '1SA 21:9', '1SA 22:9', '1SA 22:18', '1SA 22:22', '1KI 11:1', '1KI 11:14', '1KI 11:17', '2KI 16:6', '2CH 25:14', '2CH 28:17', 'PSA 52:4']
93	['NEH 7:61']
94	['GEN 18:12', 'GEN 23:6', 'GEN 23:11', 'GEN 23:15', 'GEN 24:12', 'GEN 24:12', 'GEN 24:14', 'GEN 24:18', 'GEN 24:27', 'GEN 24:27', 'GEN 24:27', 'GEN 24:35', 'GEN 24:36', 'GEN 24:36', 'GEN 24:37', 'GEN 24:39', 'GEN 24:42', 'GEN 24:44', 'GEN 24:48', 'GEN 24:48', 'GEN 24:49', 'GEN 24:54', 'GEN 24:56', 'GEN 24:65', 'GEN 31:35', 'GEN 32:6', 'GEN 32:7', 'GEN 32:20', 'GEN 33:8', 'GEN 33:13', 'GEN 33:14', 'GEN 33:14', 'GEN 33:15', 'GEN 39:8', 'GEN 42:10', 'GEN 43:20', 'GEN 44:5', 'GEN 44:7', 'GEN 44:9', 'GEN 44:16', 'GEN 44:16', 'GEN 44:18', 'GEN 44:18', 'GEN 44:19', 'GEN 44:20', 'GEN 44:22', 'GEN 44:24', 'GEN 44:33', 'GEN 45:8', 'GEN 45:9', 'GEN 47:18', 'GEN 47:18', 'GEN 47:18', 'GEN 47:25', 'EXO 21:5', 'EXO 32:22', 'NUM 11:28', 'NUM 12:11', 'NUM 32:25', 'NUM 32:27', 'NUM 36:2', 'NUM 36:2', 'JOS 5:14', 'JDG 4:18', 'JDG 6:13', 'RUT 2:13', '1SA 1:15', '1SA 1:26', '1SA 1:26', '1SA 16:16', '1SA 22:12', '1SA 24:8', '1SA 24:10', '1SA 24:12', '1SA 25:24', '1SA 25:25', '1SA 25:25', '1SA 25:26', '1SA 25:26', '1SA 25:27', '1SA 25:27', '1SA 25:28', '1SA 25:28', '1SA 25:29', '1SA 25:30', '1SA 25:31', '1SA 25:31', '1SA 25:31', '1SA 25:41', '1SA 26:17', '1SA 26:18', '1SA 26:19', '1SA 29:8', '1SA 30:13', '1SA 30:15', '2SA 1:10', '2SA 3:21', '2SA 4:8', '2SA 9:11', '2SA 11:11', '2SA 11:11', '2SA 13:32', '2SA 13:33', '2SA 14:9', '2SA 14:12', '2SA 14:15', '2SA 14:17', '2SA 14:17', '2SA 14:18', '2SA 14:19', '2SA 14:19', '2SA 14:20', '2SA 14:22', '2SA 15:15', '2SA 15:21', '2SA 15:21', '2SA 16:4', '2SA 16:9', '2SA 18:28', '2SA 18:31', '2SA 18:32', '2SA 19:21', '2SA 19:21', '2SA 19:22', '2SA 19:28', '2SA 19:29', '2SA 19:29', '2SA 19:30', '2SA 19:32', '2SA 19:37', '2SA 19:39', '2SA 24:3', '2SA 24:3', '2SA 24:21', '2SA 24:22', '1KI 1:2', '1KI 1:2', '1KI 1:13', '1KI 1:17', '1KI 1:18', '1KI 1:20', '1KI 1:20', '1KI 1:21', '1KI 1:24', '1KI 1:27', '1KI 1:27', '1KI 1:31', '1KI 1:36', '1KI 1:37', '1KI 1:37', '1KI 2:38', '1KI 3:17', '1KI 3:26', '1KI 18:7', '1KI 18:10', '1KI 18:13', '1KI 20:4', '1KI 20:9', '2KI 2:19', '2KI 4:16', '2KI 4:28', '2KI 5:3', '2KI 5:18', '2KI 5:20', '2KI 5:22', '2KI 6:5', '2KI 6:12', '2KI 6:15', '2KI 6:26', '2KI 8:5', '2KI 8:12', '2KI 10:9', '2KI 18:23', '2KI 18:24', '2KI 18:27', '1CH 21:3', '1CH 21:3', '1CH 21:3', '1CH 21:23', '2CH 2:12', '2CH 2:13', 'PSA 12:6', 'PSA 105:21', 'PSA 110:1', 'ISA 36:8', 'ISA 36:9', 'ISA 36:12', 'JER 22:18', 'JER 34:5', 'JER 37:20', 'JER 38:9', 'DAN 1:10', 'DAN 10:16', 'DAN 10:17', 'DAN 10:17', 'DAN 10:19', 'DAN 12:8', 'ZEC 1:9', 'ZEC 4:4', 'ZEC 4:5', 'ZEC 4:13', 'ZEC 6:4', 'MAL 1:6', 'MAL 1:6']
95	['2CH 11:9']
