	vrefs
4353	['EZR 2:2', 'NEH 3:17', 'NEH 10:27', 'NEH 12:3']
4354	['GEN 31:38', 'GEN 32:16', 'SNG 6:6', 'ISA 53:7']
4355	['GEN 29:6', 'GEN 29:9', 'GEN 29:10', 'GEN 29:11', 'GEN 29:12', 'GEN 29:16', 'GEN 29:17', 'GEN 29:18', 'GEN 29:20', 'GEN 29:25', 'GEN 29:28', 'GEN 29:29', 'GEN 29:30', 'GEN 29:31', 'GEN 30:1', 'GEN 30:2', 'GEN 30:6', 'GEN 30:7', 'GEN 30:8', 'GEN 30:14', 'GEN 30:15', 'GEN 30:22', 'GEN 30:25', 'GEN 31:4', 'GEN 31:14', 'GEN 31:19', 'GEN 31:32', 'GEN 31:33', 'GEN 31:34', 'GEN 33:1', 'GEN 33:2', 'GEN 33:7', 'GEN 35:16', 'GEN 35:19', 'GEN 35:20', 'GEN 35:24', 'GEN 35:25', 'GEN 46:19', 'GEN 46:22', 'GEN 46:25', 'GEN 48:7', 'RUT 4:11', '1SA 10:2', 'JER 31:15']
4356	['1CH 2:44']
4357	['LEV 11:18', 'DEU 14:17']
4358	['ISA 30:24']
4359	['2SA 23:29', '1CH 11:31']
4360	['GEN 8:21', 'EXO 29:18', 'EXO 29:25', 'EXO 29:41', 'LEV 1:9', 'LEV 1:13', 'LEV 1:17', 'LEV 2:2', 'LEV 2:9', 'LEV 2:12', 'LEV 3:5', 'LEV 3:16', 'LEV 4:31', 'LEV 6:1', 'LEV 6:7', 'LEV 8:21', 'LEV 8:28', 'LEV 17:6', 'LEV 23:13', 'LEV 23:18', 'LEV 26:31', 'NUM 15:3', 'NUM 15:7', 'NUM 15:10', 'NUM 15:13', 'NUM 15:14', 'NUM 15:24', 'NUM 18:17', 'NUM 28:2', 'NUM 28:6', 'NUM 28:8', 'NUM 28:13', 'NUM 28:24', 'NUM 28:27', 'NUM 29:2', 'NUM 29:6', 'NUM 29:8', 'NUM 29:13', 'NUM 29:36', 'EZK 6:13', 'EZK 16:19', 'EZK 20:28', 'EZK 20:41']
4361	['GEN 10:3']
4362	['2SA 4:2', '2SA 4:5', '2SA 4:6', '2SA 4:9']
4363	['2KI 10:15', '2KI 10:23', '1CH 2:55', 'JER 35:6', 'JER 35:8', 'JER 35:14', 'JER 35:16', 'JER 35:19']
4364	['NEH 3:14']
4365	['JER 35:2', 'JER 35:3', 'JER 35:5', 'JER 35:18']
4366	['1CH 4:12']
4367	['1SA 30:29']
4368	['1KI 5:22', 'EST 8:10', 'EST 8:14', 'MIC 1:13']
4369	['RUT 4:19', '1CH 2:9', '1CH 2:10']
4370	['1CH 2:25', '1CH 2:27']
4371	['JOB 32:2']
4372	['GEN 29:25', 'JOS 9:22', '1SA 19:17', '1SA 28:12', '2SA 19:28', '1CH 12:19', 'PRO 26:19', 'LAM 1:19']
4373	['JOS 18:25', 'JDG 19:13', '1KI 15:17', '1KI 15:21', '1KI 15:22', '2CH 16:1', '2CH 16:5', '2CH 16:6', 'EZR 2:26', 'NEH 7:30', 'NEH 11:33', 'ISA 10:29', 'JER 31:15', 'JER 40:1', 'HOS 5:8']
4374	['1SA 1:19', '1SA 2:11', '1SA 7:17', '1SA 8:4', '1SA 15:34', '1SA 16:13', '1SA 19:18', '1SA 19:19', '1SA 19:22', '1SA 19:23', '1SA 20:1', '1SA 25:1', '1SA 28:3']
4375	['JOS 19:29']
4376	['JOS 19:36']
4377	['2KI 8:29', '2CH 22:6']
4378	['EXO 16:24', 'JOB 7:5', 'JOB 17:14', 'JOB 21:26', 'JOB 24:20', 'JOB 25:6', 'ISA 14:11']
4379	['EXO 28:33', 'EXO 28:34', 'EXO 28:34', 'EXO 39:24', 'EXO 39:25', 'EXO 39:25', 'EXO 39:26', 'EXO 39:26', 'NUM 13:23', 'NUM 20:5', 'DEU 8:8', '1SA 14:2', '1KI 7:18', '1KI 7:20', '1KI 7:42', '1KI 7:42', '2KI 25:17', '2CH 3:16', '2CH 4:13', '2CH 4:13', 'SNG 4:3', 'SNG 4:13', 'SNG 6:7', 'SNG 6:11', 'SNG 7:14', 'SNG 8:2', 'JER 52:22', 'JER 52:22', 'JER 52:23', 'JER 52:23', 'JOL 1:12', 'HAG 2:19']
4380	['JOS 15:32', 'JOS 19:7', '1CH 4:32', 'ZEC 14:10']
4381	['JOS 19:13', '1CH 6:47']
4382	['2SA 4:2', '2SA 4:5', '2SA 4:9']
4383	['2KI 5:18']
4384	['EZR 10:29']
4385	['1SA 30:27']
4386	['PRO 10:4', 'PRO 12:24', 'PRO 12:27', 'PRO 19:15', 'JER 48:10']
4387	['EZR 10:25']
4388	['JOB 13:7', 'JOB 27:4', 'PSA 32:2', 'PSA 52:6', 'PSA 78:57', 'PSA 101:7', 'PSA 120:2', 'PSA 120:3', 'PRO 10:4', 'PRO 12:24', 'PRO 12:27', 'PRO 19:15', 'JER 48:10', 'HOS 7:16', 'MIC 6:12']
4389	['2KI 15:25', '2KI 15:27', '2KI 15:30', '2KI 15:32', '2KI 15:37', '2KI 16:1', '2KI 16:5', '2CH 28:6', 'ISA 7:1', 'ISA 7:4', 'ISA 7:5', 'ISA 7:9', 'ISA 8:6']
4390	['NUM 33:19', 'NUM 33:20']
4391	['GEN 1:24', 'GEN 1:25', 'GEN 1:26', 'GEN 6:7', 'GEN 6:20', 'GEN 7:14', 'GEN 7:23', 'GEN 8:19', 'GEN 9:3', '1KI 5:27', 'PSA 104:25', 'PSA 148:10', 'EZK 8:10', 'EZK 38:20', 'HOS 2:22', 'HAB 1:14']
4392	['JOS 19:21']
4393	['JDG 15:17']
4394	['1CH 27:27']
4395	['1SA 1:1']
4396	['1CH 4:20']
4397	['JOB 39:13']
4398	['NUM 33:21', 'NUM 33:22']
4399	['JOB 40:29', 'PSA 32:9', 'ISA 30:28']
4400	['GEN 10:12']
4401	['GEN 11:18', 'GEN 11:19', 'GEN 11:20', 'GEN 11:21', '1CH 1:25']
4402	['GEN 36:4', 'GEN 36:10', 'GEN 36:13', 'GEN 36:17', '1CH 1:35', '1CH 1:37']
4403	['EXO 2:18', 'NUM 10:29']
4404	['NUM 2:14']
4405	['1CH 9:8']
4406	['1KI 1:8']
4407	['EZR 2:2']
4408	['GEN 10:7', '1CH 1:9', 'EZK 27:22']
4409	['NEH 7:7']
4410	['GEN 47:11', 'EXO 1:11', 'EXO 12:37', 'NUM 33:3', 'NUM 33:5']
4411	['1CH 8:2']
4412	['1CH 20:6', '1CH 20:8']
4413	['GEN 14:5', 'GEN 15:20', 'DEU 2:11', 'DEU 2:20', 'DEU 2:20', 'DEU 3:11', 'DEU 3:13', 'JOS 12:4', 'JOS 13:12', 'JOS 15:8', 'JOS 17:15', 'JOS 18:16', '2SA 5:18', '2SA 5:22', '2SA 23:13', '2SA 23:13', '1CH 11:15', '1CH 14:9', '1CH 20:4', 'ISA 17:5']
4414	['JOB 26:5', 'PSA 88:12', 'PRO 2:18', 'PRO 9:18', 'PRO 21:16', 'ISA 14:9', 'ISA 26:14', 'ISA 26:19']
4415	['1CH 26:7']
4416	['2SA 21:16', '2SA 21:18', '2SA 21:20', '2SA 21:22']
4417	['1CH 8:37']
4418	['NUM 13:9']
4419	['1CH 7:25']
4420	['EXO 17:1', 'EXO 17:8', 'EXO 19:2', 'NUM 33:14', 'NUM 33:15']
4421	['1CH 3:21']
4422	['1CH 4:42']
4423	['1CH 7:2']
4424	['1CH 9:43']
4425	['NEH 3:9']
4426	['HAB 3:17']
4427	['GEN 49:6', 'EXO 28:38', 'LEV 1:3', 'LEV 19:5', 'LEV 22:19', 'LEV 22:20', 'LEV 22:21', 'LEV 22:29', 'LEV 23:11', 'DEU 33:16', 'DEU 33:23', '2CH 15:15', 'EZR 10:11', 'NEH 9:24', 'NEH 9:37', 'EST 1:8', 'EST 9:5', 'PSA 5:13', 'PSA 19:15', 'PSA 30:7', 'PSA 30:9', 'PSA 40:10', 'PSA 51:20', 'PSA 69:15', 'PSA 89:19', 'PSA 103:21', 'PSA 106:4', 'PSA 143:10', 'PSA 145:16', 'PSA 145:19', 'PRO 8:35', 'PRO 10:32', 'PRO 11:1', 'PRO 11:20', 'PRO 11:27', 'PRO 12:2', 'PRO 12:22', 'PRO 14:9', 'PRO 14:35', 'PRO 15:8', 'PRO 16:13', 'PRO 16:15', 'PRO 18:22', 'PRO 19:12', 'ISA 49:8', 'ISA 56:7', 'ISA 58:5', 'ISA 60:7', 'ISA 60:10', 'ISA 61:2', 'JER 6:20', 'DAN 8:4', 'DAN 11:3', 'DAN 11:16', 'DAN 11:36', 'MAL 2:13']
4428	['1CH 7:39']
4429	['2KI 15:37', '2KI 16:5', '2KI 16:6', '2KI 16:9', 'ISA 7:1', 'ISA 7:4', 'ISA 7:8', 'ISA 8:6', 'ISA 9:9']
4430	['EZR 2:48', 'NEH 7:50']
4431	['2KI 19:12', 'ISA 37:12']
4432	['2SA 3:7', '2SA 21:8', '2SA 21:10', '2SA 21:11']
4433	['JOS 19:46']
4434	['JOS 18:27']
4435	['NUM 31:8', 'JOS 13:21']
4436	['1CH 2:43', '1CH 2:44']
4437	['1CH 7:16']
4438	['JDG 5:30', 'JDG 5:30', 'PSA 45:16', 'EZK 16:10', 'EZK 16:13', 'EZK 16:18', 'EZK 26:16', 'EZK 27:7', 'EZK 27:16', 'EZK 27:24']
4439	['JOS 19:35']
4440	['JOB 9:29', 'JOB 10:7', 'JOB 10:15']
4441	['EXO 22:7', 'DEU 25:1', '1KI 8:32', 'JOB 9:20', 'JOB 10:2', 'JOB 15:6', 'JOB 32:3', 'JOB 34:17', 'JOB 34:29', 'JOB 40:8', 'PSA 37:33', 'PSA 94:21', 'PRO 12:2', 'PRO 17:15', 'ISA 50:9', 'ISA 54:17']
4442	['GEN 18:23', 'GEN 18:25', 'GEN 18:25', 'EXO 2:13', 'EXO 9:27', 'EXO 23:1', 'EXO 23:7', 'NUM 16:26', 'NUM 35:31', 'DEU 25:1', 'DEU 25:2', '1SA 2:9', '1SA 24:15', '2SA 4:11', '1KI 8:32', '2CH 6:23', '2CH 19:2', 'JOB 3:17', 'JOB 8:22', 'JOB 9:22', 'JOB 9:24', 'JOB 10:3', 'JOB 11:20', 'JOB 15:20', 'JOB 16:11', 'JOB 18:5', 'JOB 20:5', 'JOB 20:29', 'JOB 21:7', 'JOB 21:16', 'JOB 21:17', 'JOB 21:28', 'JOB 22:18', 'JOB 24:6', 'JOB 27:7', 'JOB 27:13', 'JOB 34:18', 'JOB 34:26', 'JOB 36:6', 'JOB 36:17', 'JOB 38:13', 'JOB 38:15', 'JOB 40:12', 'PSA 1:1', 'PSA 1:4', 'PSA 1:5', 'PSA 1:6', 'PSA 3:9', 'PSA 7:11', 'PSA 9:7', 'PSA 9:18', 'PSA 9:19', 'PSA 10:2', 'PSA 10:3', 'PSA 10:4', 'PSA 10:13', 'PSA 10:15', 'PSA 11:2', 'PSA 11:5', 'PSA 11:6', 'PSA 12:9', 'PSA 17:9', 'PSA 17:13', 'PSA 26:5', 'PSA 28:3', 'PSA 31:19', 'PSA 32:10', 'PSA 34:23', 'PSA 36:3', 'PSA 36:13', 'PSA 37:10', 'PSA 37:12', 'PSA 37:14', 'PSA 37:16', 'PSA 37:17', 'PSA 37:20', 'PSA 37:21', 'PSA 37:28', 'PSA 37:32', 'PSA 37:34', 'PSA 37:35', 'PSA 37:38', 'PSA 37:40', 'PSA 39:3', 'PSA 50:16', 'PSA 55:5', 'PSA 58:5', 'PSA 58:12', 'PSA 68:4', 'PSA 71:4', 'PSA 73:3', 'PSA 73:12', 'PSA 75:6', 'PSA 75:10', 'PSA 75:11', 'PSA 82:2', 'PSA 82:4', 'PSA 91:8', 'PSA 92:9', 'PSA 94:3', 'PSA 94:3', 'PSA 94:13', 'PSA 97:10', 'PSA 101:8', 'PSA 104:35', 'PSA 106:18', 'PSA 109:2', 'PSA 109:6', 'PSA 109:7', 'PSA 112:10', 'PSA 112:10', 'PSA 119:53', 'PSA 119:61', 'PSA 119:95', 'PSA 119:110', 'PSA 119:119', 'PSA 119:155', 'PSA 129:4', 'PSA 139:19', 'PSA 140:6', 'PSA 140:10', 'PSA 141:10', 'PSA 145:20', 'PSA 146:9', 'PSA 147:6', 'PRO 2:22', 'PRO 3:25', 'PRO 3:33', 'PRO 4:14', 'PRO 4:19', 'PRO 5:22', 'PRO 9:7', 'PRO 10:3', 'PRO 10:6', 'PRO 10:7', 'PRO 10:11', 'PRO 10:16', 'PRO 10:20', 'PRO 10:24', 'PRO 10:25', 'PRO 10:27', 'PRO 10:28', 'PRO 10:30', 'PRO 10:32', 'PRO 11:5', 'PRO 11:7', 'PRO 11:8', 'PRO 11:10', 'PRO 11:11', 'PRO 11:18', 'PRO 11:23', 'PRO 11:31', 'PRO 12:5', 'PRO 12:6', 'PRO 12:7', 'PRO 12:10', 'PRO 12:12', 'PRO 12:21', 'PRO 12:26', 'PRO 13:5', 'PRO 13:9', 'PRO 13:17', 'PRO 13:25', 'PRO 14:11', 'PRO 14:19', 'PRO 14:32', 'PRO 15:6', 'PRO 15:8', 'PRO 15:9', 'PRO 15:28', 'PRO 15:29', 'PRO 16:4', 'PRO 17:15', 'PRO 17:23', 'PRO 18:3', 'PRO 18:5', 'PRO 19:28', 'PRO 20:26', 'PRO 21:4', 'PRO 21:7', 'PRO 21:10', 'PRO 21:12', 'PRO 21:12', 'PRO 21:18', 'PRO 21:27', 'PRO 21:29', 'PRO 24:15', 'PRO 24:16', 'PRO 24:19', 'PRO 24:20', 'PRO 24:24', 'PRO 25:5', 'PRO 25:26', 'PRO 28:1', 'PRO 28:4', 'PRO 28:12', 'PRO 28:15', 'PRO 28:28', 'PRO 29:2', 'PRO 29:7', 'PRO 29:12', 'PRO 29:16', 'PRO 29:27', 'ECC 3:17', 'ECC 7:15', 'ECC 8:10', 'ECC 8:13', 'ECC 8:14', 'ECC 8:14', 'ECC 9:2', 'ISA 3:11', 'ISA 5:23', 'ISA 11:4', 'ISA 13:11', 'ISA 14:5', 'ISA 26:10', 'ISA 48:22', 'ISA 53:9', 'ISA 55:7', 'ISA 57:20', 'ISA 57:21', 'JER 5:26', 'JER 12:1', 'JER 23:19', 'JER 25:31', 'JER 30:23', 'EZK 3:18', 'EZK 3:18', 'EZK 3:18', 'EZK 3:18', 'EZK 3:19', 'EZK 3:19', 'EZK 7:21', 'EZK 13:22', 'EZK 18:20', 'EZK 18:20', 'EZK 18:21', 'EZK 18:23', 'EZK 18:24', 'EZK 18:27', 'EZK 21:13', 'EZK 21:14', 'EZK 21:35', 'EZK 21:34', 'EZK 33:8', 'EZK 33:8', 'EZK 33:8', 'EZK 33:8', 'EZK 33:9', 'EZK 33:11', 'EZK 33:11', 'EZK 33:12', 'EZK 33:14', 'EZK 33:15', 'EZK 33:19', 'DAN 12:10', 'DAN 12:10', 'MIC 6:10', 'HAB 1:4', 'HAB 1:13', 'HAB 3:13', 'ZEP 1:3', 'MAL 3:18', 'MAL 3:21']
4443	['2SA 22:22', '1KI 8:47', '2CH 6:37', '2CH 20:35', '2CH 22:3', 'NEH 9:33', 'JOB 34:12', 'PSA 18:23', 'PSA 106:6', 'ECC 7:17', 'DAN 9:5', 'DAN 9:15', 'DAN 11:32', 'DAN 12:10']
4444	['1CH 7:25']
4445	['JOB 18:8', 'PSA 9:17', 'PSA 10:9', 'PSA 25:15', 'PSA 31:6', 'PSA 35:7', 'PSA 35:8', 'PSA 57:8', 'PSA 140:7', 'PRO 1:17', 'PRO 29:5', 'LAM 1:13', 'EZK 12:13', 'EZK 17:20', 'EZK 19:8', 'EZK 32:3', 'HOS 5:1', 'HOS 7:12']
4446	['1KI 19:4', '1KI 19:5', 'JOB 30:4', 'PSA 120:4']
4447	['NUM 33:18', 'NUM 33:19']
4448	['JOB 18:8']
4449	['NUM 32:3']
4450	['NUM 32:38', 'JOS 13:19', 'ISA 16:8', 'ISA 16:9', 'JER 48:32']
4451	['1KI 16:34']
4452	['1CH 2:21', '1CH 2:22']
4453	['GEN 22:7', 'GEN 22:8', 'GEN 30:32', 'EXO 12:3', 'EXO 12:4', 'EXO 12:5', 'EXO 13:13', 'EXO 21:37', 'EXO 22:2', 'EXO 22:7', 'EXO 22:8', 'EXO 34:19', 'EXO 34:20', 'LEV 5:7', 'LEV 12:8', 'LEV 22:23', 'LEV 22:28', 'LEV 27:26', 'NUM 15:11', 'DEU 14:4', 'DEU 17:1', 'DEU 18:3', 'DEU 22:1', 'JOS 6:21', 'JDG 6:4', '1SA 14:34', '1SA 15:3', '1SA 17:34', '1SA 22:19', 'PSA 119:176', 'ISA 7:25', 'ISA 43:23', 'ISA 53:7', 'ISA 66:3', 'JER 50:17', 'EZK 34:17', 'EZK 34:20', 'EZK 34:22', 'EZK 45:15']
4454	['JOS 15:35', '1SA 17:1', '1KI 4:10', '1CH 4:18', '2CH 11:7', '2CH 28:18']
4455	['JOS 15:48']
4456	['1CH 2:55']
4457	['GEN 26:21']
4458	['DEU 4:48']
4459	['DEU 27:2', 'DEU 27:4']
4460	['DEU 27:2', 'DEU 27:4']
4461	['JOB 40:31']
4462	['1SA 19:22']
4463	['JOB 38:36']
4464	['1CH 8:10']
4465	['GEN 3:6', 'DEU 29:7', 'DEU 32:29', 'JOS 1:7', 'JOS 1:8', '1SA 18:5', '1SA 18:14', '1SA 18:15', '1SA 18:30', '1KI 2:3', '2KI 18:7', '1CH 28:19', '2CH 30:22', 'NEH 8:13', 'NEH 9:20', 'JOB 22:2', 'JOB 34:27', 'JOB 34:35', 'PSA 2:10', 'PSA 14:2', 'PSA 32:8', 'PSA 36:5', 'PSA 41:3', 'PSA 53:4', 'PSA 64:11', 'PSA 94:8', 'PSA 101:2', 'PSA 106:7', 'PSA 119:99', 'PRO 1:3', 'PRO 10:5', 'PRO 10:19', 'PRO 14:35', 'PRO 15:24', 'PRO 16:20', 'PRO 16:23', 'PRO 17:2', 'PRO 17:8', 'PRO 19:14', 'PRO 21:11', 'PRO 21:12', 'PRO 21:16', 'ISA 41:20', 'ISA 44:18', 'ISA 52:13', 'JER 3:15', 'JER 9:22', 'JER 10:21', 'JER 20:11', 'JER 23:5', 'DAN 1:4', 'DAN 1:17', 'DAN 9:13', 'DAN 9:22', 'DAN 9:25', 'DAN 11:33', 'DAN 11:35', 'DAN 12:3', 'DAN 12:10', 'AMO 5:13']
4466	['1SA 25:3', '1CH 22:12', '1CH 26:14', '2CH 2:10', '2CH 30:22', 'EZR 8:18', 'NEH 8:8', 'JOB 17:4', 'PSA 111:10', 'PRO 3:4', 'PRO 12:8', 'PRO 13:15', 'PRO 16:22', 'PRO 19:11', 'PRO 23:9', 'DAN 8:25']
4467	['1CH 11:35']
4468	['1CH 26:4']
4469	['EXO 16:13', 'NUM 11:31', 'NUM 11:32', 'PSA 105:40']
4470	['1CH 2:11']
4471	['1CH 2:51', '1CH 2:54']
4472	['RUT 4:20']
4473	['RUT 4:21']
4474	['GEN 36:36', 'GEN 36:37', '1CH 1:47', '1CH 1:48']
4475	['PRO 30:28']
4476	['DEU 3:9', '1CH 5:23', 'SNG 4:8', 'EZK 27:5']
4477	['GEN 37:31', 'LEV 4:23', 'LEV 4:24', 'LEV 9:3', 'LEV 9:15', 'LEV 10:16', 'LEV 16:5', 'LEV 16:7', 'LEV 16:8', 'LEV 16:9', 'LEV 16:10', 'LEV 16:15', 'LEV 16:18', 'LEV 16:20', 'LEV 16:21', 'LEV 16:21', 'LEV 16:22', 'LEV 16:22', 'LEV 16:26', 'LEV 16:27', 'LEV 23:19', 'NUM 7:16', 'NUM 7:22', 'NUM 7:28', 'NUM 7:34', 'NUM 7:40', 'NUM 7:46', 'NUM 7:52', 'NUM 7:58', 'NUM 7:64', 'NUM 7:70', 'NUM 7:76', 'NUM 7:82', 'NUM 7:87', 'NUM 15:24', 'NUM 28:15', 'NUM 28:22', 'NUM 28:30', 'NUM 29:5', 'NUM 29:11', 'NUM 29:16', 'NUM 29:19', 'NUM 29:22', 'NUM 29:25', 'NUM 29:28', 'NUM 29:31', 'NUM 29:34', 'NUM 29:38', '2CH 29:23', 'ISA 13:21', 'ISA 34:14', 'EZK 43:22', 'EZK 43:25', 'EZK 45:23', 'DAN 8:21']
4478	['LEV 17:7', '2CH 11:15']
4479	['GEN 14:6', 'GEN 32:5', 'GEN 33:14', 'GEN 33:16', 'GEN 36:8', 'GEN 36:9', 'GEN 36:20', 'GEN 36:21', 'GEN 36:30', 'NUM 24:18', 'DEU 1:2', 'DEU 1:44', 'DEU 2:1', 'DEU 2:4', 'DEU 2:5', 'DEU 2:8', 'DEU 2:12', 'DEU 2:22', 'DEU 2:29', 'DEU 33:2', 'JOS 11:17', 'JOS 12:7', 'JOS 24:4', 'JDG 5:4', '1CH 1:38', '1CH 4:42', '2CH 20:10', '2CH 20:22', '2CH 20:23', '2CH 25:11', '2CH 25:14', 'ISA 21:11', 'EZK 25:8', 'EZK 35:2', 'EZK 35:3', 'EZK 35:7', 'EZK 35:15']
4480	['JOS 15:10']
4481	['LEV 4:28', 'LEV 5:6']
4482	['JDG 3:26']
4483	['EXO 9:31', 'EXO 9:31', 'LEV 27:16', 'NUM 5:15', 'DEU 8:8', 'JDG 7:13', 'RUT 1:22', 'RUT 2:17', 'RUT 2:23', 'RUT 3:2', 'RUT 3:15', 'RUT 3:17', '2SA 14:30', '2SA 17:28', '2SA 21:9', '1KI 5:22', '2KI 4:42', '2KI 7:1', '2KI 7:16', '2KI 7:18', '1CH 11:13', '2CH 2:8', '2CH 2:13', '2CH 27:5', 'JOB 31:40', 'ISA 28:25', 'JER 41:8', 'EZK 4:9', 'EZK 4:12', 'EZK 13:19', 'EZK 45:13', 'HOS 3:2', 'HOS 3:2', 'JOL 1:11']
4484	['1CH 24:8']
4485	['1SA 30:28']
4486	['GEN 42:25', 'GEN 42:27', 'GEN 42:35', 'GEN 42:35', 'LEV 11:32', 'JOS 9:4']
