	en	Found	Not_found	Found_ratio
1783	Kinah	1	0	1.0
1784	Kir	4	0	1.0
1785	Kir-Heres	0	5	0.0
1786	Kir-Moab	0	1	0.0
1787	Kirama	0	7	0.0
1788	Kiriath-Arba	0	9	0.0
1789	Kiriath-Baal	0	2	0.0
1790	Kiriath-Huzoth	0	1	0.0
1791	Kiriath-Jearim	0	20	0.0
1792	Kiriath-Sannah	0	1	0.0
1793	Kiriath-Sepher	0	4	0.0
1794	Kiriathaim	6	1	0.8571428571428571
1795	Kish	17	9	0.6538461538461539
1796	Kishi	0	1	0.0
1797	Kishion	2	0	1.0
1798	Kishon	5	1	0.8333333333333334
1799	Kitron	1	0	1.0
1800	Kittim	10	1	0.9090909090909091
1801	Koa	1	0	1.0
1802	Kohath	26	6	0.8125
1803	Kohathite	12	2	0.8571428571428571
1804	Kola	0	20	0.0
1805	Kolaiah	2	0	1.0
1806	Kona	0	1	0.0
1807	Korah	24	13	0.6486486486486487
1808	Korahite	7	1	0.875
1809	Kore	3	0	1.0
1810	Koz	6	0	1.0
1811	Kushaiah	1	0	1.0
1812	Laadah	1	0	1.0
1813	Laban	46	2	0.9583333333333334
1814	Laccunus	0	1	0.0
1815	Lacedaemonians	0	1	0.0
1816	Lachish	23	0	1.0
1817	Ladan	5	0	1.0
1818	Lahad	1	0	1.0
1819	Lahmas	0	1	0.0
1820	Lahmi	1	0	1.0
1821	Laish	6	0	1.0
1822	Laishah	1	0	1.0
1823	Lakkum	1	0	1.0
1824	Lamech	10	4	0.7142857142857143
1825	Laodicea	1	0	1.0
1826	Lappidoth	1	0	1.0
1827	Lasha	1	0	1.0
