	term	domain	category	sense	AR	DC	en	es	fr	id
100	אָדָם	PN	person	1	False	False	Adam	hombre	homme	Adam
101	אָדָם	PN	settlement	2	False	False	Adam	rubí	Adam	Adam
102	אָדָם	BE	people	3	False	False	man	Admá	homme	manusia
103	אֹדֶם	RE	gemstones		False	False	ruby	Adamá	rubi	rubi
104	אַדְמָה	PN	settlement		False	False	Admah	Adamí-néqueb	Adma	Adma
105	אֲדָמָה	PN	settlement		False	False	Adamah	Adumim	Adama	Adama
106	אֲדָמִי	PN	settlement		False	False	Adami Nekeb	Admata	Adami-Nèqev	Adami-Nekeb
107	אֲדֻמִּים	PN	nature		False	False	Adummim	Adón	Adoummim	Adumim
108	אַדְמָתָא	PN	person		False	False	Admatha	Señor	Admata	Admata
109	אַדָּן	PN	settlement		False	False	Addan	Adonisédec	Addân	Adan
110	אֲדֹנָי	BE	supernatural beings and powers; titles		False	False	Lord	Adonisédec	Seigneur	Tuhan
111	אֲדֹנִי־בֶזֶק	PN	person		False	False	Adoni-Bezek	Adonías	Adoni-Bèzeq	Adoni-Bezek
112	אֲדֹנִי־צֶדֶק	PN	person		False	False	Adoni-Zedek	Adonías	Adoni-Sédeq	Adoni-Zedek
113	אֲדֹנִיָּה	PN	person	1	False	False	Adonijah	Adonías	Adonias	Adonia
114	אֲדֹנִיָּה	PN	person	2	False	False	Adonijah	Adonías	Adoniya	Adonia
115	אֲדֹנִיָּהוּ	PN	person	1	False	False	Adonijah	Adonicam	Adonias	Adonia
116	אֲדֹנִיָּהוּ	PN	person	2	False	False	Adonijah	Adoniram	Adoniyahou	Adonia
117	אֲדֹנִיקָם	PN	person		False	False	Adonikam	Adar	Adoniqam	Adonikam
118	אֲדֹנִירָם	PN	person		False	False	Adoniram	Adar	Adoniram	Adoniram
119	אַדָּר	PN	settlement	1	False	False	Adar	Adoram	Addar	Adar
120	אַדָּר	PN	person	2	False	False	Adar	Adramélec	Addar	Adar
121	אֲדֹרָם	PN	person		False	False	Adoram	Adramélec	Adoram	Adoram
122	אַדְרַמֶּלֶךְ	PN	supernatural beings and powers	1	False	False	Adrammelech	Edrei	Adrammélek	Adramelekh
123	אַדְרַמֶּלֶךְ	PN	person	2	False	False	Adrammelech	Edrei	Adrammélek	Adramelekh
124	אֶדְרֶעִי	PN	settlement	1	False	False	Edrei	amar	Edrèï	Edrei
125	אֶדְרֶעִי	PN	settlement	2	False	False	Edrei	amor	Edrèï	Edrei
126	אהב	AT	affection		False	False	love	Óhad	aimer	kasihi
127	אַהֲבָה	AT	affection		False	False	love	Ahavá	amour	mengasihi
128	אֹהַד	PN	person		False	False	Ohad	Ehud	Ohad	Ohad
129	אַהֲוָא	PN	area; nature		False	False	Ahava	Ehud	Ahawa	Ahawa
130	אֵהוּד	PN	person	1	False	False	Ehud	Óhel	Ehoud	Ehud
131	אֵהוּד	PN	person	2	False	False	Ehud	tabernáculo de reunión	Ehoud	Ehud
132	אֹהֶל	PN	person		False	False	Ohel	Aholá	Ohel	Ohel
133	אֹהֶל	RE	construction; religious activities		False	False	tent of meeting	Oholiab	tente de la rencontre	Kemah Pertemuan
134	אָהֳלָה	PN	person		False	False	Oholah	Oholibá	Ohola	Ohola
135	אֲהָלוֹת	FL	trees; perfumes and spices		False	False	aloes	Oholibamá	aloès	gaharu
136	אָהֳלִיאָב	PN	person		False	False	Oholiab	Oholibamá	Oholiav	Oholiab
137	אָהֳלִיבָה	PN	person		False	False	Oholibah	Aarón	Oholiba	Oholiba
138	אָהֳלִיבָמָה	PN	person	1	False	False	Oholibamah	Uel	Oholivama	Oholibama
139	אָהֳלִיבָמָה	PN	person	2	False	False	Oholibamah	espíritu	Oholivama	Oholibama
